Date,Warehouse_ID,SKU_ID,On_Hand_Qty,Safety_Stock_Target
2026-01-26,W01_New_Jersey,ZEN-101,10,100
2026-01-26,W01_New_Jersey,ZEN-201,300,200
2026-01-26,W01_New_Jersey,ZEN-102,120,80
2026-01-26,W01_New_Jersey,ZEN-301,180,120
2026-01-26,W01_New_Jersey,ZEN-401,90,60
2026-01-26,W01_New_Jersey,ZEN-900,75,50
2026-01-26,W01_New_Jersey,ZEN-901,75,50
2026-01-26,W01_New_Jersey,ZEN-902,75,50
2026-01-26,W01_New_Jersey,ZEN-903,75,50
2026-01-26,W01_New_Jersey,ZEN-904,75,50
2026-01-26,W02_Chicago,ZEN-101,600,100
2026-01-26,W02_Chicago,ZEN-201,300,200
2026-01-26,W02_Chicago,ZEN-102,120,80
2026-01-26,W02_Chicago,ZEN-301,180,120
2026-01-26,W02_Chicago,ZEN-401,90,60
2026-01-26,W02_Chicago,ZEN-900,75,50
2026-01-26,W02_Chicago,ZEN-901,75,50
2026-01-26,W02_Chicago,ZEN-902,75,50
2026-01-26,W02_Chicago,ZEN-903,75,50
2026-01-26,W02_Chicago,ZEN-904,75,50
2026-01-26,W03_Atlanta,ZEN-101,150,100
2026-01-26,W03_Atlanta,ZEN-201,300,200
2026-01-26,W03_Atlanta,ZEN-102,120,80
2026-01-26,W03_Atlanta,ZEN-301,180,120
2026-01-26,W03_Atlanta,ZEN-401,90,60
2026-01-26,W03_Atlanta,ZEN-900,75,50
2026-01-26,W03_Atlanta,ZEN-901,75,50
2026-01-26,W03_Atlanta,ZEN-902,75,50
2026-01-26,W03_Atlanta,ZEN-903,75,50
2026-01-26,W03_Atlanta,ZEN-904,75,50
2026-01-26,W04_Dallas,ZEN-101,150,100
2026-01-26,W04_Dallas,ZEN-201,300,200
2026-01-26,W04_Dallas,ZEN-102,120,80
2026-01-26,W04_Dallas,ZEN-301,180,120
2026-01-26,W04_Dallas,ZEN-401,90,60
2026-01-26,W04_Dallas,ZEN-900,75,50
2026-01-26,W04_Dallas,ZEN-901,75,50
2026-01-26,W04_Dallas,ZEN-902,75,50
2026-01-26,W04_Dallas,ZEN-903,75,50
2026-01-26,W04_Dallas,ZEN-904,75,50
2026-01-26,W05_Denver,ZEN-101,150,100
2026-01-26,W05_Denver,ZEN-201,300,200
2026-01-26,W05_Denver,ZEN-102,120,80
2026-01-26,W05_Denver,ZEN-301,180,120
2026-01-26,W05_Denver,ZEN-401,90,60
2026-01-26,W05_Denver,ZEN-900,75,50
2026-01-26,W05_Denver,ZEN-901,75,50
2026-01-26,W05_Denver,ZEN-902,75,50
2026-01-26,W05_Denver,ZEN-903,75,50
2026-01-26,W05_Denver,ZEN-904,75,50
2026-01-26,W06_Los_Angeles,ZEN-101,150,100
2026-01-26,W06_Los_Angeles,ZEN-201,300,200
2026-01-26,W06_Los_Angeles,ZEN-102,120,80
2026-01-26,W06_Los_Angeles,ZEN-301,180,120
2026-01-26,W06_Los_Angeles,ZEN-401,90,60
2026-01-26,W06_Los_Angeles,ZEN-900,75,50
2026-01-26,W06_Los_Angeles,ZEN-901,75,50
2026-01-26,W06_Los_Angeles,ZEN-902,75,50
2026-01-26,W06_Los_Angeles,ZEN-903,75,50
2026-01-26,W06_Los_Angeles,ZEN-904,75,50
2026-01-26,W07_Seattle,ZEN-101,150,100
2026-01-26,W07_Seattle,ZEN-201,300,200
2026-01-26,W07_Seattle,ZEN-102,120,80
2026-01-26,W07_Seattle,ZEN-301,5,120
2026-01-26,W07_Seattle,ZEN-401,90,60
2026-01-26,W07_Seattle,ZEN-900,75,50
2026-01-26,W07_Seattle,ZEN-901,75,50
2026-01-26,W07_Seattle,ZEN-902,75,50
2026-01-26,W07_Seattle,ZEN-903,75,50
2026-01-26,W07_Seattle,ZEN-904,75,50
2026-01-26,W08_Miami,ZEN-101,150,100
2026-01-26,W08_Miami,ZEN-201,300,200
2026-01-26,W08_Miami,ZEN-102,120,80
2026-01-26,W08_Miami,ZEN-301,180,120
2026-01-26,W08_Miami,ZEN-401,90,60
2026-01-26,W08_Miami,ZEN-900,75,50
2026-01-26,W08_Miami,ZEN-901,75,50
2026-01-26,W08_Miami,ZEN-902,75,50
2026-01-26,W08_Miami,ZEN-903,75,50
2026-01-26,W08_Miami,ZEN-904,75,50
2026-01-26,W09_St_Louis,ZEN-101,150,100
2026-01-26,W09_St_Louis,ZEN-201,300,200
2026-01-26,W09_St_Louis,ZEN-102,120,80
2026-01-26,W09_St_Louis,ZEN-301,180,120
2026-01-26,W09_St_Louis,ZEN-401,90,60
2026-01-26,W09_St_Louis,ZEN-900,75,50
2026-01-26,W09_St_Louis,ZEN-901,75,50
2026-01-26,W09_St_Louis,ZEN-902,75,50
2026-01-26,W09_St_Louis,ZEN-903,75,50
2026-01-26,W09_St_Louis,ZEN-904,75,50
