Origin_Warehouse,Destination_Warehouse,Shipping_Cost_Per_Kg,Transit_Time_Days
W01_New_Jersey,W02_Chicago,1.2,3
W01_New_Jersey,W03_Atlanta,0.5,1
W01_New_Jersey,W04_Dallas,1.2,3
W01_New_Jersey,W05_Denver,2.5,5
W01_New_Jersey,W06_Los_Angeles,2.5,5
W01_New_Jersey,W07_Seattle,2.5,5
W01_New_Jersey,W08_Miami,0.5,1
W01_New_Jersey,W09_St_Louis,1.2,3
W02_Chicago,W01_New_Jersey,1.2,3
W02_Chicago,W03_Atlanta,1.2,3
W02_Chicago,W04_Dallas,0.5,1
W02_Chicago,W05_Denver,1.2,3
W02_Chicago,W06_Los_Angeles,1.2,3
W02_Chicago,W07_Seattle,1.2,3
W02_Chicago,W08_Miami,1.2,3
W02_Chicago,W09_St_Louis,0.5,1
W03_Atlanta,W01_New_Jersey,0.5,1
W03_Atlanta,W02_Chicago,1.2,3
W03_Atlanta,W04_Dallas,1.2,3
W03_Atlanta,W05_Denver,2.5,5
W03_Atlanta,W06_Los_Angeles,2.5,5
W03_Atlanta,W07_Seattle,2.5,5
W03_Atlanta,W08_Miami,0.5,1
W03_Atlanta,W09_St_Louis,1.2,3
W04_Dallas,W01_New_Jersey,1.2,3
W04_Dallas,W02_Chicago,0.5,1
W04_Dallas,W03_Atlanta,1.2,3
W04_Dallas,W05_Denver,1.2,3
W04_Dallas,W06_Los_Angeles,1.2,3
W04_Dallas,W07_Seattle,1.2,3
W04_Dallas,W08_Miami,1.2,3
W04_Dallas,W09_St_Louis,0.5,1
W05_Denver,W01_New_Jersey,2.5,5
W05_Denver,W02_Chicago,1.2,3
W05_Denver,W03_Atlanta,2.5,5
W05_Denver,W04_Dallas,1.2,3
W05_Denver,W06_Los_Angeles,0.5,1
W05_Denver,W07_Seattle,0.5,1
W05_Denver,W08_Miami,2.5,5
W05_Denver,W09_St_Louis,1.2,3
W06_Los_Angeles,W01_New_Jersey,2.5,5
W06_Los_Angeles,W02_Chicago,1.2,3
W06_Los_Angeles,W03_Atlanta,2.5,5
W06_Los_Angeles,W04_Dallas,1.2,3
W06_Los_Angeles,W05_Denver,0.5,1
W06_Los_Angeles,W07_Seattle,0.5,1
W06_Los_Angeles,W08_Miami,2.5,5
W06_Los_Angeles,W09_St_Louis,1.2,3
W07_Seattle,W01_New_Jersey,2.5,5
W07_Seattle,W02_Chicago,1.2,3
W07_Seattle,W03_Atlanta,2.5,5
W07_Seattle,W04_Dallas,1.2,3
W07_Seattle,W05_Denver,0.5,1
W07_Seattle,W06_Los_Angeles,0.5,1
W07_Seattle,W08_Miami,2.5,5
W07_Seattle,W09_St_Louis,1.2,3
W08_Miami,W01_New_Jersey,0.5,1
W08_Miami,W02_Chicago,1.2,3
W08_Miami,W03_Atlanta,0.5,1
W08_Miami,W04_Dallas,1.2,3
W08_Miami,W05_Denver,2.5,5
W08_Miami,W06_Los_Angeles,2.5,5
W08_Miami,W07_Seattle,2.5,5
W08_Miami,W09_St_Louis,1.2,3
W09_St_Louis,W01_New_Jersey,1.2,3
W09_St_Louis,W02_Chicago,0.5,1
W09_St_Louis,W03_Atlanta,1.2,3
W09_St_Louis,W04_Dallas,0.5,1
W09_St_Louis,W05_Denver,1.2,3
W09_St_Louis,W06_Los_Angeles,1.2,3
W09_St_Louis,W07_Seattle,1.2,3
W09_St_Louis,W08_Miami,1.2,3
